t_in,t_rcv,latence_us,q0_in,q0_rcv
4174214963,4174214965,2,0.025147,-0.052796
4174245326,4174245328,2,0.037689,-0.032111
4174306023,4174306025,2,0.075139,0.019544
4174336373,4174336375,2,0.087538,0.033878
4174366716,4174366718,2,0.099881,0.057791
4174386952,4174386954,2,0.124371,0.069949
4174447582,4174447584,2,0.148548,0.108493
4174457692,4174457694,2,0.160499,0.119863
4174488056,4174488057,1,0.172348,0.137682
4174528486,4174528489,3,0.184089,0.147014
4174599434,4174599436,2,0.218585,0.186803
4174629805,4174629807,2,0.240903,0.195187
4174660230,4174660232,2,0.262614,0.208107
4174690538,4174690540,2,0.273223,0.224533
4174710750,4174710751,1,0.283660,0.242300
4174730995,4174730997,2,0.293918,0.261080
4174761364,4174761366,2,0.303991,0.270272
4174852387,4174852390,3,0.333031,0.304238
4174862493,4174862495,2,0.351349,0.316737
4174882710,4174882712,2,0.368780,0.326784
4174923208,4174923210,2,0.377148,0.339637
4174973773,4174973776,3,0.400805,0.365924
4175034439,4175034441,2,0.422183,0.380569
4175085125,4175085127,2,0.441163,0.405270
4175125568,4175125570,2,0.446937,0.414679
4175155880,4175155883,3,0.452430,0.426834
4175186219,4175186221,2,0.462553,0.436618
4175216532,4175216534,2,0.467178,0.447643
4175256979,4175256982,3,0.479272,0.453307
4175307528,4175307531,3,-0.207248,0.470236
4175337854,4175337857,3,-0.218617,0.476859
4175398530,4175398533,3,-0.251869,0.475706
4175438948,4175438949,1,-0.262644,0.471282
4175459189,4175459192,3,-0.273254,0.464059
4175560234,4175560237,3,-0.323580,0.419764
4175570336,4175570338,2,-0.333057,0.400411
4175590517,4175590520,3,-0.342324,0.378257
4175661311,4175661314,3,-0.360203,0.295694
4175691654,4175691657,3,-0.368804,0.265588
4175722011,4175722014,3,-0.377172,0.203166
4175773578,4175773581,3,-0.400826,0.077529
4175813995,4175813997,2,-0.408211,0.014697
4175844309,4175844312,3,-0.415338,-0.048135
4175874650,4175874653,3,-0.422203,-0.110967
4175945423,4175945426,3,-0.435128,-0.236630
4175985916,4175985919,3,-0.441180,-0.299462
4176006258,4176006261,3,-0.446954,-0.359484
4176036580,4176036582,2,-0.452445,-0.407154
4176127572,4176127574,2,-0.471520,-0.457287
4176157865,4176157868,3,-0.479282,-0.460438
4176188208,4176188211,3,-0.482710,-0.466504
4176228608,4176228611,3,-0.485834,-0.471141
4176258909,4176258912,3,-0.491158,-0.475385
4176319510,4176319512,2,-0.493356,-0.479540
4176339714,4176339716,2,-0.495241,-0.483601
4176349826,4176349828,2,-0.499648,-0.488130
4176400303,4176400306,3,-0.499960,-0.495347
4176420515,4176420518,3,-0.499642,-0.497718
4176460934,4176460937,3,-0.491128,-0.498651
4176551823,4176551826,3,-0.479238,-0.491982
4176572006,4176572009,3,-0.475503,-0.486942
4176612474,4176612476,2,-0.471468,-0.484931
4176652857,4176652859,2,-0.462507,-0.474975
4176723568,4176723578,10,-0.446883,-0.466200
4176753870,4176753872,2,-0.441106,-0.460535
4176774132,4176774135,3,-0.435050,-0.452158
4176804474,4176804477,3,-0.422118,-0.447621
4176834821,4176834824,3,-0.415250,-0.440069
4176895498,4176895501,3,-0.400732,-0.422967
4176925840,4176925842,2,-0.393091,-0.415104
4176996605,4176996607,2,-0.377069,-0.399690
4177026915,4177026917,2,-0.368698,-0.391857
4177097716,4177097718,2,-0.360094,-0.381986
4177107837,4177107840,3,-0.351263,-0.376376
4177128042,4177128045,3,-0.342209,
